"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","CrdY","CrdR","2CrdY","Fls","Fld","Off","Crs","Int","TklW","PKwon","PKcon","OG","Recov","Won_Aerial","Lost_Aerial","Won_percent_Aerial","Url"
2018,"Lazio","Serie A","opponent",24,38,70,3,0,380,410,54,596,495,464,10,11,3,2108,464,474,49.5,"https://fbref.com/en/squads/7213da33/2017-2018/Lazio-Stats"
2018,"Leganés","La Liga","team",28,38,102,5,3,592,503,97,690,583,483,2,7,0,2140,653,627,51,"https://fbref.com/en/squads/7c6f2c78/2017-2018/Leganes-Stats"
2018,"Leganés","La Liga","opponent",28,38,82,4,4,526,568,90,638,432,474,5,3,2,2229,627,653,49,"https://fbref.com/en/squads/7c6f2c78/2017-2018/Leganes-Stats"
2018,"Leicester City","Premier League","team",27,38,NA,NA,4,364,357,92,744,414,417,6,4,2,2154,787,752,51.1,"https://fbref.com/en/squads/a2d435b3/2017-2018/Leicester-City-Stats"
2018,"Leicester City","Premier League","opponent",27,38,52,1,0,368,353,79,752,402,437,3,6,3,2135,752,787,48.9,"https://fbref.com/en/squads/a2d435b3/2017-2018/Leicester-City-Stats"
2018,"Levante","La Liga","team",33,38,108,6,3,554,446,70,726,477,414,5,6,3,1967,468,559,45.6,"https://fbref.com/en/squads/9800b6a1/2017-2018/Levante-Stats"
2018,"Levante","La Liga","opponent",33,38,93,6,4,466,527,113,741,454,522,6,5,1,2030,559,468,54.4,"https://fbref.com/en/squads/9800b6a1/2017-2018/Levante-Stats"
2018,"Leverkusen","Bundesliga","team",24,34,NA,NA,1,451,485,58,658,390,482,4,6,0,1717,552,618,47.2,"https://fbref.com/en/squads/c7a9f859/2017-2018/Bayer-Leverkusen-Stats"
2018,"Leverkusen","Bundesliga","opponent",24,34,79,1,1,508,433,52,468,427,491,5,5,0,1524,618,552,52.8,"https://fbref.com/en/squads/c7a9f859/2017-2018/Bayer-Leverkusen-Stats"
2018,"Lille","Ligue 1","team",25,38,59,6,2,482,430,87,614,492,453,2,7,3,2251,485,460,51.3,"https://fbref.com/en/squads/cb188c0c/2017-2018/Lille-Stats"
2018,"Lille","Ligue 1","opponent",25,38,71,2,1,449,463,71,630,489,516,6,2,0,2222,460,485,48.7,"https://fbref.com/en/squads/cb188c0c/2017-2018/Lille-Stats"
